Date,Open,High,Low,Price
"Dec 15, 2016","1,139.80","1,143.30","1,123.90","1,127.80"
"Dec 14, 2016","1,159.80","1,164.00","1,142.00","1,161.30"
"Dec 13, 2016","1,163.50","1,164.00","1,155.40","1,156.70"
"Dec 12, 2016","1,158.30","1,163.90","1,153.00","1,163.50"
"Dec 09, 2016","1,166.60","1,168.80","1,156.00","1,159.40"
"Dec 08, 2016","1,173.80","1,177.80","1,169.10","1,169.80"
"Dec 07, 2016","1,167.70","1,178.50","1,166.40","1,175.00"
"Dec 06, 2016","1,170.90","1,174.50","1,167.10","1,167.60"
"Dec 05, 2016","1,181.80","1,186.70","1,157.00","1,174.00"
"Dec 02, 2016","1,172.30","1,177.30","1,166.40","1,175.10"
"Dec 01, 2016","1,172.70","1,174.60","1,160.00","1,166.90"
"Nov 30, 2016","1,187.10","1,193.30","1,167.90","1,170.80"
"Nov 29, 2016","1,193.20","1,194.80","1,179.40","1,187.90"
"Nov 28, 2016","1,188.00","1,190.60","1,188.00","1,190.60"
"Nov 25, 2016","1,177.00","1,189.30","1,177.00","1,178.20"
"Nov 23, 2016","1,212.80","1,213.80","1,186.80","1,189.10"
"Nov 22, 2016","1,210.40","1,211.10","1,207.60","1,211.00"
"Nov 21, 2016","1,209.60","1,209.60","1,209.60","1,209.60"
"Nov 18, 2016","1,211.90","1,211.90","1,207.20","1,208.50"
"Nov 17, 2016","1,224.60","1,225.00","1,211.00","1,216.50"
"Nov 16, 2016","1,229.30","1,229.30","1,223.00","1,223.40"
"Nov 15, 2016","1,224.30","1,226.00","1,222.50","1,224.00"
"Nov 14, 2016","1,227.80","1,229.50","1,210.40","1,221.20"
"Nov 10, 2016","1,274.40","1,287.50","1,253.30","1,265.50"
"Nov 09, 2016","1,272.20","1,318.60","1,270.00","1,272.60"
"Nov 08, 2016","1,284.10","1,289.40","1,273.20","1,273.40"
"Nov 07, 2016","1,292.00","1,294.50","1,278.30","1,278.30"
"Nov 04, 2016","1,300.00","1,303.30","1,296.70","1,303.30"
"Nov 03, 2016","1,296.40","1,303.10","1,287.30","1,302.10"
"Nov 02, 2016","1,288.30","1,307.00","1,288.30","1,306.80"
"Nov 01, 2016","1,279.30","1,290.70","1,279.00","1,286.40"
"Oct 31, 2016","1,276.60","1,276.60","1,271.50","1,271.50"
"Oct 28, 2016","1,270.30","1,281.50","1,262.00","1,275.50"
"Oct 27, 2016","1,269.40","1,269.40","1,267.90","1,267.90"
"Oct 26, 2016","1,274.00","1,274.00","1,264.80","1,264.80"
"Oct 25, 2016","1,264.10","1,274.10","1,264.10","1,271.90"
"Oct 24, 2016","1,269.20","1,269.20","1,261.80","1,262.00"
"Oct 21, 2016","1,265.90","1,265.90","1,265.90","1,265.90"
"Oct 20, 2016","1,270.00","1,270.50","1,265.50","1,265.60"
"Oct 19, 2016","1,262.90","1,271.50","1,262.90","1,267.90"
"Oct 18, 2016","1,260.90","1,261.70","1,260.80","1,260.80"
"Oct 17, 2016","1,249.90","1,255.00","1,249.90","1,254.40"
"Oct 14, 2016","1,253.90","1,253.90","1,250.60","1,253.10"
"Oct 13, 2016","1,258.70","1,259.00","1,255.00","1,255.00"
"Oct 12, 2016","1,251.70","1,254.00","1,251.10","1,251.10"
"Oct 11, 2016","1,258.90","1,258.90","1,253.00","1,253.00"
"Oct 07, 2016","1,253.90","1,263.60","1,248.90","1,248.90"
"Oct 06, 2016","1,265.30","1,265.30","1,249.80","1,249.80"
"Oct 05, 2016","1,272.10","1,274.00","1,261.30","1,265.20"
"Oct 04, 2016","1,307.60","1,310.20","1,266.30","1,266.30"
